Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
98,,Crew-1(Crew Dragon C207.1Resilience),,LEO(ISS),NASA(CCP)[497],,"KSC,LC-39A","~12,500 kg (27,600 lb)",Success,F9 B5B1061.1[582],Success(drone ship),16 November 202000:27[581],
99,,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,NASA/NOAA/ESA/EUMETSAT,,"VAFB,SLC-4E","1,192 kg (2,628 lb)",Success,F9 B5B1063.1,Success(ground pad),21 November 202017:17:08[587],
100,,Starlink15 v1.0 (60 satellites),,LEO,SpaceX,,"CCAFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1049.7[590],Success(drone ship),25 November 202002:13[589],
101,,SpaceX CRS-21(Dragon C208.1),,LEO(ISS),NASA(CRS),,"KSC,LC-39A","2,972 kg (6,552 lb)",Success,F9 B5 ♺B1058.4[592],Success(drone ship),6 December 202016:17:08[591],
102,,SXM-7,,GTO,Sirius XM,,"CCSFS,SLC-40[597]","7,000 kg (15,000 lb)",Success,F9 B5 ♺B1051.7,Success(drone ship),13 December 202017:30:00[596],
103,,NROL-108,,LEO,NRO,,"KSC,LC-39A",Classified,Success,F9 B5 ♺B1059.5,Success(ground pad),19 December 202014:00:00[602],
104,,Türksat 5A[605],,GTO,Türksat,,"CCSFS,SLC-40","3,500 kg (7,700 lb)",Success,F9 B5♺B1060.4,Success(drone ship),8 January 202102:15[604],
105,,Starlink16 v1.0 (60 satellites),,LEO,SpaceX,,"KSC,LC-39A","15,600 kg (34,400 lb)",Success,F9 B5♺B1051.8[609],Success(drone ship),20 January 202113:02[608],
106,,Transporter-1(143 smallsat rideshare),,SSO,Various,,"CCSFS,SLC-40","~5,000 kg (11,000 lb)",Success,F9 B5♺B1058.5[613],Success(drone ship),24 January 202115:00[612],
107,,Starlink18 v1.0 (60 satellites),,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1060.5[624],Success(drone ship),4 February 202106:19[623],
108,,Starlink19 v1.0 (60 satellites)[627],,LEO,SpaceX,,"CCSFS,SLC-40","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1059.6,Failure(drone ship),16 February 202103:59:37[626],
109,,Starlink17 v1.0 (60 satellites),,LEO,SpaceX,,"KSC,LC-39A","15,600 kg (34,400 lb)",Success,F9 B5 ♺B1049.8[634],Success(drone ship),4 March 202108:24[633],
